step,cap_1,cap_2,cap_3,cap_4,cap_5,cap_6,cap_7,cap_8,cap_9,cap_10
250,20.452407,51.670844,153.165785,27.707483,1077.177365,17.881877,17.881877,17.881877,17.881877,17.881877
251,20.452407,51.670844,153.165785,27.707483,966.273743,18.240566,18.240566,18.240566,18.240566,18.240566
252,20.452407,51.670844,153.165785,27.707483,966.273743,18.013120,18.013120,18.013120,18.013120,18.013120
253,20.452407,64.582143,153.165785,27.707483,966.273743,18.888079,18.888079,18.888079,18.888079,18.888079
254,20.452407,64.582143,153.165785,27.707483,966.273743,18.888079,18.888079,18.888079,18.888079,18.888079
255,20.452407,64.582143,153.165785,27.707483,966.273743,25.738184,25.738184,25.738184,25.738184,25.738184
256,20.452407,64.582143,153.165785,27.707483,966.273743,25.052712,25.052712,25.052712,25.052712,25.052712
257,21.454685,64.582143,153.165785,27.707483,966.273743,21.607178,21.607178,21.607178,21.607178,21.607178
258,21.454685,64.582143,153.165785,27.707483,966.273743,21.707878,21.707878,21.707878,21.707878,21.707878
259,21.454685,64.582143,153.165785,25.149490,966.273743,19.125941,19.125941,19.125941,19.125941,19.125941
